70202,VINAC
70204,DIVIČANI
70206,JEZERO
70210,DOBRETIĆI
70259,BLAGAJ KOD KUPRESA
70260,MRKONJIĆ GRAD
70262,BJELAJCI
70266,PODRAŠNICA
70267,BARAĆI
70270,ŠIPOVO
70273,STROJICE
70275,PLJEVA
71425,PODGRAB
72220,ZAVIDOVIĆI
72224,ČARDAK
72225,HAJDAREVIĆI
72226,KOVAĆI
72227,VOZUĆA
72230,ŽEPČE
72233,BEGOV HAN
72236,ZELJEZNO POLJE
72238,OZIMICA
73208,ILOVAČA
73220,ROGATICA
73223,STJENICE
73225,BORIKE
73226,ŽEPA
73240,VIŠEGRAD
73245,PRELOVO
73247,DOBRUN
73260,RUDO
73263,BIJELO BRDO
73265,UVAC
73267,STRGAČINA
73287,ZABORAK
73290,PRAČA
73295,HRENOVICA
74206,BRIJESNICA KOD DOBOJA
74207,KLOKOTNICA
74210,BRESTOVO
74213,V. BUKOVICA
74214,PRNJAVOR MALI
74222,KOSTAJNICA
74253,KOSOVA
74254,NOVI ŠEHER
74255,PAKLENICA
74256,JABLANICA KOD MAGLAJA
74258,GLOBARICA
74317,PETROVO
74321,USORA-SIVŠA
74470,VUKOSAVLJE
74480,MODRICA
74483,DUGO POLJE
74484,GAREVAC
74485,MILOŠEVAC
74487,VRANJAK
74488,VRANJAK
74489,KOPRIVNA
75260,KALESIJA
75265,TOJŠIČI
75267,MEMIĆI
75268,RAINCI GORNJI
75323,ORAHOVICA DONJA
75324,STJEPAN POLJE
75326,MALEŠIĆI
75327,LUKAVICA-TUZLA
75400,ZVORNIK
75403,ZVORNIK
75404,GUSTERI
75405,CAPARDE
75411,SAPNA
75413,KOZLUK
76230,ŠAMAC
76233,DOMALJEVAC
76234,GREBNICE
76235,OBUDOVAC
76237,DONJA SLATINA
76238,GORNJA SLATINA
76239,CRKVINA
76290,ODŽAK
76292,PRUD
76293,DONJA DUBICA
76295,NOVI GRAD DOBOJ
76296,GORNJA DUBICA
76297,DONJI SVILAJ
76298,POTOČANI
77000,BIHAĆ
77101,BIHAĆ
77103,BIHAĆ
77104,BIHAĆ
77105,BIHAĆ
77106,BIHAĆ
77203,VRSTA
77204,KAMENICA
77205,BREKOVICA
77206,KULEN VAKUF
77207,VELIKA GATA
77208,IZAČIĆ
77209,POKOJ
77215,RIPAČ
77220,CAZIN
77222,GORNJA KOPRIVNA
77223,STURLIC
77224,STIJENA
77225,TRZAČKA RAŠTELA
77226,ČORALIĆI
77227,PEČIGRAD
77228,OSTROZAC KOD CAZINA
77230,VELIKA KLADUŠA
77231,VRNOGRAC
77232,PODZVIZD
77233,TODOROVO
77234,SUMATAC
77235,MALA KLADUŠA
77236,ZBORIŠTE
77240,BOSANSKA KRUPA
77241,JEZERSKI
77242,DOBRO SELO
77243,VAROŠKA RIJEKA
77244,BOSANSKA OTOKA
77245,BUŽIM
77246,ARAPUŠA
77248,PISTALINE
77249,KONJODER
77250,BOSANSKI PETROVAC
77253,KRNJEUŠA
77254,VRTOČE
77265,MARTIN BROD
78206,KRUPA NA VRBASU
78207,KOLA
78208,STRIČIĆI
78210,ILIDŽA-SLATINA
78211,VRBANJA
78212,KULJANI
78220,KOTOR VAROŠ
78221,ZABRĐE
78222,LIPLJE
78223,MASLOVARE
78224,SIPRAGE
78225,VRBANJCI
78226,KRUŠEVO BRDO
78227,GRABOVICA
78230,KNEŽEVO
78233,JAVORANI
78234,IMLJANI
78240,ČELINAC
78242,POPOVAC
78243,STARA DUBRAVA
78244,JOSAVKA
78255,ALEKSANDROVAC
78256,KRISKOVCI
78400,GRADIŠKA
78403,CEROVLJANI
78404,TURJAK
78405,GORNJI PODGRADCI
78406,ORAHOVA
78407,LAMINCI
78408,VRBASKA
78409,KOČIĆEVO
78410,MASIČI
78411,DUBRAVE
78418,NOVA TOPOLA
78420,SRBAC
78422,SITNESI
78423,KOBAS
78424,KUKULJE
78427,ČUKALI
78428,NOZIČKO
78429,RAZBOJ LIJEVČE
78430,PRNJAVOR
78432,DONJI VIJAČANI
78433,SIBOVSKA
78434,LIŠNJA
78435,POTOČANI
78436,HRVAČANI
78437,PALAČKOVCI
78438,SMRTIĆI
78439,GORNJI STRPCI
79220,NOVI GRAD
79223,DOBRLJIN
79224,KOSTAJNICA
79226,RUDICE
79227,DUBOVIK
79228,DONJI AGIĆI
79229,SVODNA
79240,KOZARSKA DUBICA
79243,DEMIROVAC
79244,JOHOVA
79246,KNEŽICA
79247,MEĐUVODE
79249,SEREFLIJE
79267,LUŠCA PALANKA
79280,KLJUČ
79283,SITNICA
79284,KRASULJE
79285,SANICA GORNJA
79287,PREVIJA
79288,GORNJI RIBNIK
79289,DONJI VRBLJANI
79290,DRINIĆ
80260,DRVAR
80270,BOSANSKO GRAHOVO
88283,KIFINO SELO
88286,ZOVI DO
88288,PRIDVORCI
88300,ČAPLJINA
88301,ČAPLJINA (VOJARNA)
88305,DOMANOVIĆI
88306,GABELA
88307,VISIĆI
88323,STUDENCI
88380,LJUBINJE
89101,REBINJE
80101,LIVNO
80202,PRILUKA
80203,LUSNIĆ
80204,LISTANI
80205,GUBER
80206,ORGUZ
80208,VIDOSI
80209,PODHUM
80211,ČELEBIĆ
80230,GLAMOĆ
80240,TOMISLAVGRAD
80243,MEŠIHOVINA
80244,KONGORA
80245,PRISOJE
80246,KAZAGINAC
80247,ROSKO POLJE
80249,ŠUICA
80320,KUPRES
88203,KRUŠEVO
88204,POLOG
88208,POTOCI
88215,DREŽNICA
88220,ŠIROKI BRIJEG
88223,LJUTI DOLAC
88224,JARE
88226,KOCERIN
88240,POSUŠJE
88242,BROĆANAC
88243,BROČANAC
88245,RAKITNO
88247,VIR
88263,BLATNICA
88265,CERIN
88266,MEĐUGORJE
88268,BILETIĆI POLJE
88269,BILETIĆI POLJE
88280,NEVESINJE
88285,MOSTAR - ODŽAK
88320,LJUBUŠKI
88324,KLOBUK
88325,RADIŠIĆI
88326,VITINA
88327,PROLOG
88340,GRUDE
88342,DUŽICE
88343,DONJI MAMIĆI
88344,DRINOVCI
88345,SOVIĆI
88347,RUZIČI
88348,TIHALJINA
88360,STOLAC
88363,BERKOVIĆI
88365,BOROJEVIĆI
88366,BURMAZI
88367,CRNIĆI
88368,HODOVO
88370,RAVNO
88375,TREBINJA
88390,NEUM
88392,GRADAC
88394,HUTOVO
88395,HRASNO-NEUM
89000,TREBINJE
89100,TREBINJE
89103,TREBINJE
89201,GRAB
89202,DUŽI
89203,HUM
89204,MOŠKO
89206,POLJICE
89208,LASTVA
89209,LJUBOMIR
89230,BILEĆA
89231,BILEĆA
89233,DIVIN
89235,PLANA
89240,GACKO
89245,AVTOVAC
89247,FOJNICA-GACKO
89249,NADINIĆI
89380,NADINIĆI
88260,ČITLUK
74411,LUPLJANICA
74412,OSINJA
74414,BOSANSKI DUBOČAC
74415,KULINA
74416,BUNAR
74417,MIŠINCI
74418,MALA SOČANICA
74451,ZBORIŠTE
74452,KLAKAR DONJI
74453,LIJEŠĆE
74454,KOLIBE GORNJE
74455,VINSKA
74456,KORAČE
74457,NOVO SELO
74458,SIJEKOVAC
78202,SARAČICA
78203,GOLEŠI
78204,BRONZANI MAJDAN
78214,ZALUŽANI
78215,DRAGOCAJ
78216,POTKOZARJE
78217,PISKAVICA
78250,LAKTAŠI
78252,TRN
78253,SLATINA ILIDZA
79000,PRIJEDOR
79100,PRIJEDOR
79101,PRIJEDOR
79102,PRIJEDOR
79103,PRIJEDOR
79104,PRIJEDOR
79202,KOZARAC
79203,OMARSKA
79204,G. LAMOVITA
79206,LJUBIJA
79208,BREZIČANI
79260,SANSKI MOST
79262,VRHPOLJE
79263,OŠTRA LUKA
79264,FAJTOVĆI
79265,TOMINA
79266,DONJI KAMENGRAD
79268,STARI  MAJDAN
79269,BUDIMLIĆ JAPRA
74203,MATUZIĆI
74265,VITKOVĆI DONJI
75000,TUZLA
75103,TUZLA
75104,TUZLA
75109,TUZLA
75214,LJUBAĆE
75216,HUSINO
75234,HUSINO
75271,ŽIVINICE GORNJE
75272,ĐURDEVIK
75275,ŠERIĆI
75276,GRAČANICA SELO
75290,BANOVIĆI
75300,LUKAVAC
